Map,Variant,Feature,Dialect Group,nPMI,Exclusivity,Representativeness
ai_big,a,ai_big_a,Guangfu,-0.014,0.333,0.027
*x_black,x,*x_black_x,Guangfu,-0.014,0.333,0.027
blood_m,i,blood_m_i,Guangfu,-0.014,0.333,0.027
s_boat,ʦ,s_boat_ʦ,Guangfu,-0.014,0.333,0.027
*x_breat,x,*x_breat_x,Guangfu,-0.014,0.333,0.027
*ŋ_five,0,*ŋ_five_0,Guangfu,-0.014,0.333,0.027
u_full,a,u_full_a,Guangfu,-0.014,0.333,0.027
s_hand,ʃ,s_hand_ʃ,Guangfu,-0.014,0.333,0.027
ɔ_I,o,ɔ_I_o,Guangfu,-0.014,0.333,0.027
*n_man,n,*n_man_n,Guangfu,-0.014,0.349,0.784
s_snake,ʃ,s_snake_ʃ,Guangfu,-0.014,0.333,0.027
s_stone,ʃ,s_stone_ʃ,Guangfu,-0.014,0.333,0.027
s_ten,ʃ,s_ten_ʃ,Guangfu,-0.014,0.333,0.027
s_to burn,ʃ,s_to burn_ʃ,Guangfu,-0.014,0.333,0.027
s_to eat,ʃ,s_to eat_ʃ,Guangfu,-0.014,0.333,0.027
s_to sleep,ʃ,s_to sleep_ʃ,Guangfu,-0.014,0.333,0.027
*ɣ_together/to merge,x,*ɣ_together/to merge_x,Guangfu,-0.014,0.333,0.027
tsʰ_tooth2,ʧʰ,tsʰ_tooth2_ʧʰ,Guangfu,-0.014,0.333,0.027
y_village,ɵ,y_village_ɵ,Guangfu,-0.014,0.333,0.027
ɐi_west,ɔi,ɐi_west_ɔi,Guangfu,-0.014,0.333,0.027
yellow_m,u,yellow_m_u,Guangfu,-0.014,0.333,0.027
ɔ_yellow,a,ɔ_yellow_a,Guangfu,-0.014,0.333,0.027
f_hair_head,f,f_hair_head_f,Guangfu,-0.015,0.35,0.946
*u_abdomen,ɔu,*u_abdomen_ɔu,Guangfu,-0.016,0.333,0.027
*-p_enter,t,*-p_enter_t,Guangfu,-0.016,0.333,0.054
ou_good,əu,ou_good_əu,Guangfu,-0.016,0.333,0.054
ou_hair_body,u,ou_hair_body_u,Guangfu,-0.016,0.333,0.054
*-m_heart,n,*-m_heart_n,Guangfu,-0.016,0.333,0.054
ɐ_knee,ɛ,ɐ_knee_ɛ,Guangfu,-0.016,0.333,0.027
*-u-_light,0,*-u-_light_0,Guangfu,-0.016,0.346,0.486
ɔi_love,ɵy,ɔi_love_ɵy,Guangfu,-0.016,0.333,0.027
*kʰ_mouth,x,*kʰ_mouth_x,Guangfu,-0.016,0.333,0.027
ɐi_small_col,ɔi,ɐi_small_col_ɔi,Guangfu,-0.016,0.333,0.027
ɵ_spring,u,ɵ_spring_u,Guangfu,-0.016,0.333,0.054
s_teacher,θ,s_teacher_θ,Guangfu,-0.016,0.333,0.027
*-p_ten,t,*-p_ten_t,Guangfu,-0.016,0.333,0.054
*-m_to drink,n,*-m_to drink_n,Guangfu,-0.016,0.333,0.054
to go_m,0,to go_m_0,Guangfu,-0.016,0.353,0.973
y_to go,i,y_to go_i,Guangfu,-0.016,0.333,0.027
y_to go,ɔi,y_to go_ɔi,Guangfu,-0.016,0.333,0.027
to go_c,0,to go_c_0,Guangfu,-0.016,0.353,0.973
ui_water,u,ui_water_u,Guangfu,-0.016,0.333,0.027
ui_water,y,ui_water_y,Guangfu,-0.016,0.333,0.027
ui_water,ɔi,ui_water_ɔi,Guangfu,-0.016,0.333,0.027
history_m,0,history_m_0,Guangfu,-0.017,0.356,0.973
*l_road,l,*l_road_l,Guangfu,-0.017,0.35,0.973
*l_six,l,*l_six_l,Guangfu,-0.017,0.35,0.973
*n_bird_lit,ɲ,*n_bird_lit_ɲ,Guangfu,-0.018,0.333,0.027
ts_fat,ʧ,ts_fat_ʧ,Guangfu,-0.018,0.333,0.027
*-t_hair_head,t,*-t_hair_head_t,Guangfu,-0.018,0.348,0.838
œ_long,ɐ,œ_long_ɐ,Guangfu,-0.018,0.333,0.027
*ɣ_summer,x,*ɣ_summer_x,Guangfu,-0.018,0.333,0.027
stone_n,ɐ,stone_n_ɐ,Guangfu,-0.019,0.333,0.054
*i_to stand,əi,*i_to stand_əi,Guangfu,-0.019,0.333,0.054
*-t_bone,t,*-t_bone_t,Guangfu,-0.021,0.347,0.892
*-t_out,t,*-t_out_t,Guangfu,-0.021,0.347,0.892
*i_skin1,ɐi,*i_skin1_ɐi,Guangfu,-0.021,0.333,0.135
*-p_ten,p,*-p_ten_p,Guangfu,-0.021,0.347,0.892
to eat_n,ə,to eat_n_ə,Guangfu,-0.021,0.333,0.081
*-p_together/to merge,p,*-p_together/to merge_p,Guangfu,-0.021,0.347,0.892
five_c,0,five_c_0,Guangfu,-0.022,0.347,0.919
*-n_full,n,*-n_full_n,Guangfu,-0.022,0.347,0.919
*-n_spring,n,*-n_spring_n,Guangfu,-0.022,0.347,0.919
*n_bird_lit,nd,*n_bird_lit_nd,Guangfu,-0.024,0.333,0.081
*-t_moon,t,*-t_moon_t,Guangfu,-0.024,0.347,0.946
*k_root,k,*k_root_k,Guangfu,-0.024,0.347,0.946
*-n_round,n,*-n_round_n,Guangfu,-0.024,0.35,0.946
*i_to stand,i,*i_to stand_i,Guangfu,-0.025,0.341,0.378
*-t_to kill,t,*-t_to kill_t,Guangfu,-0.027,0.344,0.838
*-m_three,m,*-m_three_m,Guangfu,-0.028,0.344,0.865
i_to fly,i,i_to fly_i,Guangfu,-0.028,0.333,0.27
